region_code,region_name,municipalty_code,municipalty_name,group,lon,lat
0001,Stockholms län,0114,Upplands Väsby,0.1,17.927819067847608,59.49916401502334
0001,Stockholms län,0114,Upplands Väsby,0.1,17.905394490052313,59.49127410010524
0001,Stockholms län,0114,Upplands Väsby,0.1,17.880666442332366,59.492854130515525
0001,Stockholms län,0114,Upplands Väsby,0.1,17.875847228602492,59.484220707454426
0001,Stockholms län,0114,Upplands Väsby,0.1,17.837943761255367,59.47623140329148
0001,Stockholms län,0114,Upplands Väsby,0.1,17.84319261856917,59.49774441418864
0001,Stockholms län,0114,Upplands Väsby,0.1,17.806923801725105,59.50616101797012
0001,Stockholms län,0114,Upplands Väsby,0.1,17.813537818024265,59.515209280384035
0001,Stockholms län,0114,Upplands Väsby,0.1,17.829464150463636,59.5235836274942
0001,Stockholms län,0114,Upplands Väsby,0.1,17.832108575448284,59.530250040677636
0001,Stockholms län,0114,Upplands Väsby,0.1,17.812743287029146,59.54614488728081
0001,Stockholms län,0114,Upplands Väsby,0.1,17.806037490581986,59.55772255824361
0001,Stockholms län,0114,Upplands Väsby,0.1,17.809951751309526,59.57476750252029
0001,Stockholms län,0114,Upplands Väsby,0.1,17.854535512821293,59.570072999530915
0001,Stockholms län,0114,Upplands Väsby,0.1,17.86366912725957,59.56314158866929
0001,Stockholms län,0114,Upplands Väsby,0.1,17.883584462166056,59.55899300798343
0001,Stockholms län,0114,Upplands Väsby,0.1,17.92867484019186,59.56366611569314
0001,Stockholms län,0114,Upplands Väsby,0.1,17.964525878538915,59.561481525079444
0001,Stockholms län,0114,Upplands Väsby,0.1,17.98075504557394,59.564014441435
0001,Stockholms län,0114,Upplands Väsby,0.1,17.98587415759145,59.55862256824615
0001,Stockholms län,0114,Upplands Väsby,0.1,17.97660171965822,59.55144949903209
0001,Stockholms län,0114,Upplands Väsby,0.1,18.01646004765104,59.52563070336356
0001,Stockholms län,0114,Upplands Väsby,0.1,18.022147857191364,59.51776721973334
0001,Stockholms län,0114,Upplands Väsby,0.1,18.021457765590167,59.511286685142
0001,Stockholms län,0114,Upplands Väsby,0.1,17.991077507907555,59.496658504060925
0001,Stockholms län,0114,Upplands Väsby,0.1,18.002465982410992,59.48059186680608
0001,Stockholms län,0114,Upplands Väsby,0.1,17.997002035512423,59.466271384606515
0001,Stockholms län,0114,Upplands Väsby,0.1,17.979484856135134,59.46769537119671
0001,Stockholms län,0114,Upplands Väsby,0.1,17.963720617987452,59.47311082599179
0001,Stockholms län,0114,Upplands Väsby,0.1,17.966072590281083,59.48313795847443
0001,Stockholms län,0114,Upplands Väsby,0.1,17.95192245268691,59.49187451776403
0001,Stockholms län,0114,Upplands Väsby,0.1,17.938399668789067,59.49387367644098
0001,Stockholms län,0114,Upplands Väsby,0.1,17.927819067847608,59.49916401502334
0001,Stockholms län,0115,Vallentuna,1.1,18.23139413310895,59.50787556127497
0001,Stockholms län,0115,Vallentuna,1.1,18.21533517341113,59.499210227727936
0001,Stockholms län,0115,Vallentuna,1.1,18.20178401840596,59.50089612405057
0001,Stockholms län,0115,Vallentuna,1.1,18.178345893377365,59.50216764468039
0001,Stockholms län,0115,Vallentuna,1.1,18.161118755418624,59.50057536736434
0001,Stockholms län,0115,Vallentuna,1.1,18.143295677724304,59.493405946919886
0001,Stockholms län,0115,Vallentuna,1.1,18.118121386343255,59.49661042583443
0001,Stockholms län,0115,Vallentuna,1.1,18.10484219907914,59.50701879572125
0001,Stockholms län,0115,Vallentuna,1.1,18.085653836116503,59.50513673238342
0001,Stockholms län,0115,Vallentuna,1.1,18.060512057424315,59.508769420722864
0001,Stockholms län,0115,Vallentuna,1.1,18.021457765590167,59.511286685142
0001,Stockholms län,0115,Vallentuna,1.1,18.022147857191364,59.51776721973334
0001,Stockholms län,0115,Vallentuna,1.1,18.01646004765104,59.52563070336356
0001,Stockholms län,0115,Vallentuna,1.1,17.97660171965822,59.55144949903209
0001,Stockholms län,0115,Vallentuna,1.1,17.98587415759145,59.55862256824615
0001,Stockholms län,0115,Vallentuna,1.1,17.98075504557394,59.564014441435
0001,Stockholms län,0115,Vallentuna,1.1,18.00465925523056,59.568598794896964
0001,Stockholms län,0115,Vallentuna,1.1,18.018767950302337,59.57162064941866
0001,Stockholms län,0115,Vallentuna,1.1,18.010910730646266,59.57785921008868
0001,Stockholms län,0115,Vallentuna,1.1,18.016494015988282,59.58713961320651
0001,Stockholms län,0115,Vallentuna,1.1,18.01961233844369,59.603869520053564
0001,Stockholms län,0115,Vallentuna,1.1,18.014856005089438,59.63289037034738
0001,Stockholms län,0115,Vallentuna,1.1,18.043592192194478,59.63119074835993
0001,Stockholms län,0115,Vallentuna,1.1,18.05703541422582,59.6338879636108
0001,Stockholms län,0115,Vallentuna,1.1,18.093362798141847,59.63536031998318
0001,Stockholms län,0115,Vallentuna,1.1,18.10127446380945,59.65331591504845
0001,Stockholms län,0115,Vallentuna,1.1,18.115175572161203,59.6660834139038
0001,Stockholms län,0115,Vallentuna,1.1,18.13019520895802,59.670747950036564
0001,Stockholms län,0115,Vallentuna,1.1,18.12495939063464,59.676928903815835
0001,Stockholms län,0115,Vallentuna,1.1,18.14630598215512,59.67954007253021
0001,Stockholms län,0115,Vallentuna,1.1,18.16398317216286,59.67865777368332
0001,Stockholms län,0115,Vallentuna,1.1,18.171090469892082,59.67141784543067
0001,Stockholms län,0115,Vallentuna,1.1,18.17293808849154,59.66464063054497
0001,Stockholms län,0115,Vallentuna,1.1,18.185453110389954,59.66466563369218
